symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider
ADANIENT,1,2018,165.8,220.5,162.15,213.2,32.992,-2.201,28.589,32.992,2.201,2.201
ADANIENT,2,2018,213.0,223.5,182.7,203.55,4.93,-14.225,-4.437,14.225,4.93,4.93
ADANIENT,3,2018,203.55,206.7,148.7,156.4,1.548,-26.947,-23.164,26.947,1.548,1.548
ADANIENT,4,2018,157.3,166.4,126.25,140.1,5.785,-19.739,-10.935,19.739,5.785,5.785
ADANIENT,5,2018,140.35,141.5,115.65,121.0,0.819,-17.599,-13.787,17.599,0.819,0.819
ADANIENT,6,2018,121.0,137.2,108.7,113.15,13.388,-10.165,-6.488,13.388,10.165,10.165
ADANIENT,7,2018,112.8,206.75,100.85,195.45,83.289,-10.594,73.271,83.289,10.594,10.594
ADANIENT,8,2018,196.0,236.65,179.0,225.25,20.74,-8.673,14.923,20.74,8.673,8.673
ADANIENT,9,2018,226.0,227.4,125.6,130.6,0.619,-44.425,-42.212,44.425,0.619,0.619
ADANIENT,10,2018,127.0,176.7,121.35,170.0,39.134,-4.449,33.858,39.134,4.449,4.449
ADANIENT,11,2018,171.05,179.5,154.25,165.0,4.94,-9.822,-3.537,9.822,4.94,4.94
ADANIENT,12,2018,166.05,168.5,134.5,161.0,1.475,-19.0,-3.041,19.0,1.475,1.475
ADANIENT,1,2019,160.9,162.35,118.95,137.15,0.901,-26.072,-14.761,26.072,0.901,0.901
ADANIENT,2,2019,136.95,144.8,114.8,128.85,5.732,-16.174,-5.915,16.174,5.732,5.732
ADANIENT,3,2019,130.35,150.75,128.85,146.75,15.65,-1.151,12.582,15.65,1.151,1.151
ADANIENT,4,2019,147.45,153.3,125.0,127.05,3.967,-15.226,-13.835,15.226,3.967,3.967
ADANIENT,5,2019,126.0,180.8,113.0,154.75,43.492,-10.317,22.817,43.492,10.317,10.317
ADANIENT,6,2019,154.0,161.9,140.35,150.5,5.13,-8.864,-2.273,8.864,5.13,5.13
ADANIENT,7,2019,150.65,161.8,123.85,128.8,7.401,-17.79,-14.504,17.79,7.401,7.401
ADANIENT,8,2019,128.6,138.3,121.15,137.35,7.543,-5.793,6.804,7.543,5.793,5.793
ADANIENT,9,2019,135.6,155.4,130.6,145.85,14.602,-3.687,7.559,14.602,3.687,3.687
ADANIENT,10,2019,146.1,201.3,134.1,199.65,37.782,-8.214,36.653,37.782,8.214,8.214
ADANIENT,11,2019,199.0,221.5,194.05,214.9,11.307,-2.487,7.99,11.307,2.487,2.487
ADANIENT,12,2019,212.0,220.8,202.4,208.35,4.151,-4.528,-1.722,4.528,4.151,4.151
ADANIENT,1,2020,209.0,210.45,206.65,207.85,0.694,-1.124,-0.55,1.124,0.694,0.694
