symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider
ADANIENT,1,2016,83.6,92.05,67.45,72.85,10.108,-19.318,-12.859,19.318,10.108,10.108
ADANIENT,2,2016,73.55,79.7,58.2,58.75,8.362,-20.87,-20.122,20.87,8.362,8.362
ADANIENT,3,2016,59.0,74.9,58.6,73.8,26.949,-0.678,25.085,26.949,0.678,0.678
ADANIENT,4,2016,73.55,88.8,72.8,86.7,20.734,-1.02,17.879,20.734,1.02,1.02
ADANIENT,5,2016,86.3,88.65,68.5,72.85,2.723,-20.626,-15.585,20.626,2.723,2.723
ADANIENT,6,2016,73.0,87.75,70.1,86.75,20.205,-3.973,18.836,20.205,3.973,3.973
ADANIENT,7,2016,87.05,87.25,79.5,80.65,0.23,-8.673,-7.352,8.673,0.23,0.23
ADANIENT,8,2016,81.1,81.75,70.55,72.8,0.801,-13.009,-10.234,13.009,0.801,0.801
ADANIENT,9,2016,72.9,74.9,63.3,65.7,2.743,-13.169,-9.877,13.169,2.743,2.743
ADANIENT,10,2016,66.0,72.8,66.0,67.0,10.303,0.0,1.515,10.303,0.0,0.0
ADANIENT,11,2016,67.3,68.6,58.35,68.05,1.932,-13.299,1.114,13.299,1.932,1.932
ADANIENT,12,2016,68.3,77.15,66.5,76.55,12.958,-2.635,12.079,12.958,2.635,2.635
ADANIENT,1,2017,77.8,93.9,75.8,87.15,20.694,-2.571,12.018,20.694,2.571,2.571
ADANIENT,2,2017,88.0,100.75,87.2,98.5,14.489,-0.909,11.932,14.489,0.909,0.909
ADANIENT,3,2017,99.0,110.2,92.75,108.55,11.313,-6.313,9.646,11.313,6.313,6.313
ADANIENT,4,2017,108.85,160.7,107.3,108.95,47.634,-1.424,0.092,47.634,1.424,1.424
ADANIENT,5,2017,109.85,126.8,106.55,116.8,15.43,-3.004,6.327,15.43,3.004,3.004
ADANIENT,6,2017,117.2,136.7,116.25,132.6,16.638,-0.811,13.14,16.638,0.811,0.811
ADANIENT,7,2017,132.4,144.35,131.2,137.9,9.026,-0.906,4.154,9.026,0.906,0.906
ADANIENT,8,2017,137.9,143.85,104.8,132.55,4.315,-24.003,-3.88,24.003,4.315,4.315
ADANIENT,9,2017,132.75,138.85,113.15,116.3,4.595,-14.765,-12.392,14.765,4.595,4.595
ADANIENT,10,2017,116.55,136.4,110.35,132.3,17.031,-5.32,13.514,17.031,5.32,5.32
ADANIENT,11,2017,132.8,162.0,131.85,146.6,21.988,-0.715,10.392,21.988,0.715,0.715
ADANIENT,12,2017,147.0,169.35,131.75,166.35,15.204,-10.374,13.163,15.204,10.374,10.374
ADANIENT,1,2018,165.8,169.85,165.0,166.05,2.443,-0.483,0.151,2.443,0.483,0.483
